Time,Voltages
47.0858227,0.54635823
47.2759276,0.54635823
47.4633266,0.551421786
47.6514683,0.556485342
47.842642,0.556485342
48.030133,0.556485342
48.2203134,0.561548898
48.4097042,0.561548898
48.5967576,0.57167601
48.7858089,0.566612454
48.9746685,0.566612454
49.1624243,0.57167601
49.3514574,0.57167601
49.5399423,0.581803123
49.7285621,0.576739566
49.9188211,0.581803123
50.1073239,0.581803123
50.296507,0.591930235
50.4862281,0.591930235
50.6742727,0.596993791
50.8617482,0.602057347
51.0492864,0.596993791
51.2379731,0.602057347
51.4281386,0.602057347
51.6173983,0.612184459
51.8051655,0.617248015
51.9949906,0.617248015
52.1827892,0.617248015
52.3719755,0.617248015
52.5608168,0.622311572
52.748908,0.622311572
52.9378073,0.627375128
53.1264021,0.627375128
53.3145565,0.632438684
53.5023981,0.632438684
53.6921326,0.632438684
53.8813958,0.632438684
54.0694565,0.63750224
54.2572029,0.642565796
54.4467718,0.642565796
54.6358343,0.642565796
54.8264393,0.647629352
55.01271,0.652692908
55.2019295,0.647629352
55.3908466,0.657756465
55.578058,0.657756465
55.7679311,0.657756465
55.9570549,0.657756465
56.1456135,0.662820021
56.335248,0.662820021
56.523486,0.662820021
56.7119595,0.672947133
56.899463,0.667883577
57.0874649,0.672947133
57.2765419,0.678010689
57.465517,0.683074245
57.6562208,0.683074245
57.8446418,0.683074245
58.0329551,0.683074245
58.2225066,0.688137801
58.4104708,0.693201357
58.60092,0.693201357
58.7890835,0.698264914
58.9784513,0.70332847
59.1671805,0.698264914
59.3575652,0.698264914
59.5464488,0.708392026
59.7346066,0.708392026
59.9227459,0.708392026
60.1107711,0.708392026
60.2964775,0.713455582
60.4849425,0.718519138
60.6734022,0.718519138
60.8615373,0.718519138
61.049292,0.718519138
61.2381049,0.723582694
61.4259311,0.723582694
61.6135373,0.72864625
61.803141,0.72864625
61.9900278,0.72864625
62.1787235,0.733709807
62.3699599,0.733709807
62.9168056,0.738773363
63.1059781,0.743836919
63.2948307,0.748900475
63.4836779,0.748900475
63.6723419,0.748900475
63.8622897,0.748900475
64.0501912,0.759027587
64.2378921,0.759027587
64.4276407,0.753964031
64.6165046,0.759027587
64.8059158,0.764091143
64.9931603,0.764091143
65.1839102,0.7691547
65.3728666,0.764091143
65.5767342,0.774218256
65.7653333,0.779281812
65.971755,0.779281812
66.1618341,0.779281812
66.3526296,0.779281812
66.55976,0.789408924
66.7478436,0.789408924
66.9348658,0.79447248
67.1225938,0.799536036
67.3288499,0.804599592
67.5178439,0.799536036
67.7254863,0.799536036
67.9165103,0.804599592
68.1064985,0.809663149
68.3125833,0.809663149
68.5011793,0.809663149
68.6913529,0.804599592
68.8826992,0.809663149
69.0738847,0.814726705
69.2626061,0.819790261
69.4498668,0.814726705
69.639043,0.819790261
69.8290687,0.814726705
70.0194045,0.824853817
70.2080431,0.824853817
70.3978483,0.829917373
70.5866099,0.829917373
70.7759023,0.829917373
70.9658189,0.834980929
71.1543219,0.834980929
71.3427771,0.840044485
71.530763,0.840044485
71.7345376,0.845108042
71.9230034,0.850171598
72.1110657,0.850171598
72.2996866,0.850171598
72.4891725,0.855235154
72.6788358,0.86029871
72.8670469,0.86029871
73.0553795,0.86029871
73.2459422,0.86029871
73.6989371,0.865362266
73.9036469,0.870425822
74.093895,0.870425822
74.282578,0.875489378
74.4721602,0.880552934
74.6592922,0.875489378
74.8486818,0.880552934
75.0394582,0.880552934
75.2307358,0.880552934
75.4201325,0.880552934
75.6093509,0.885616491
75.7978362,0.890680047
75.9838941,0.890680047
76.1715254,0.890680047
76.3604615,0.895743603
76.5497029,0.895743603
76.7385749,0.890680047
76.9414209,0.900807159
77.131458,0.905870715
77.3185291,0.905870715
77.5060476,0.905870715
77.6941424,0.905870715
77.8808383,0.910934271
78.0672785,0.915997827
78.2582414,0.915997827
78.4461143,0.910934271
78.6364505,0.915997827
78.8255299,0.92612494
79.0144976,0.92612494
79.4202472,0.92612494
79.6081674,0.931188496
79.7987497,0.931188496
79.9873453,0.936252052
80.1771055,0.936252052
80.3661237,0.941315608
80.5547974,0.941315608
80.7436843,0.941315608
80.9328141,0.946379164
81.122621,0.95144272
81.3096696,0.946379164
81.4995133,0.95144272
81.6882106,0.956506277
81.8772947,0.956506277
82.0653536,0.956506277
82.2519683,0.956506277
82.4439965,0.961569833
82.6340548,0.966633389
82.82241,0.966633389
83.0103254,0.966633389
83.2005762,0.971696945
83.3886692,0.971696945
83.5779185,0.966633389
83.7677681,0.976760501
83.9570173,0.976760501
84.1468982,0.981824057
84.3374235,0.986887613
84.5270954,0.981824057
84.7321737,0.991951169
84.9207393,0.986887613
85.1103715,0.991951169
85.315814,0.991951169
85.5214308,0.997014726
85.7108287,0.991951169
85.8998292,0.997014726
86.0899252,1.002078282
86.2801725,1.002078282
86.4678017,1.007141838
86.657018,1.002078282
86.8460179,1.007141838
87.0350777,1.01726895
87.2400001,1.022332506
87.4298489,1.01726895
87.6182944,1.01726895
87.8078706,1.01726895
87.9977436,1.022332506
88.1877597,1.022332506
88.3760063,1.022332506
88.5651082,1.032459619
88.7542327,1.027396062
88.9573054,1.032459619
89.1470174,1.032459619
89.3347653,1.032459619
89.5237789,1.037523175
89.7293827,1.042586731
89.9170046,1.047650287
90.1055803,1.047650287
90.2943531,1.042586731
90.4819858,1.047650287
90.6720549,1.052713843
90.8608197,1.052713843
91.0521096,1.052713843
91.2404914,1.057777399
91.4285767,1.057777399
91.6179759,1.057777399
91.8065361,1.062840955
92.025314,1.062840955
92.2140685,1.062840955
92.401679,1.067904511
92.5910276,1.067904511
92.7799773,1.072968068
92.9687508,1.072968068
93.158074,1.078031624
93.3483473,1.078031624
93.5359214,1.078031624
93.7274982,1.078031624
93.9155036,1.088158736
94.1024138,1.08309518
94.2911324,1.088158736
94.4785966,1.088158736
94.668083,1.093222292
94.8556592,1.093222292
95.0455088,1.098285848
95.2360427,1.093222292
95.7520452,1.108412961
95.9402054,1.108412961
96.1284168,1.108412961
96.317397,1.113476517
96.5033745,1.113476517
96.7064645,1.113476517
96.8964967,1.113476517
97.0837463,1.118540073
97.2719887,1.118540073
97.4614582,1.123603629
97.6496218,1.128667185
97.8389251,1.128667185
98.0459358,1.133730741
98.249619,1.133730741
98.439064,1.138794297
98.6312156,1.133730741
98.8211688,1.138794297
99.0089793,1.138794297
99.1968303,1.143857853
99.385051,1.143857853
99.5737533,1.143857853
99.7628884,1.143857853
99.9535512,1.14892141
100.1418454,1.14892141
100.3302885,1.153984966
100.518921,1.14892141
100.7221133,1.153984966
100.911998,1.153984966
101.1000579,1.159048522
101.3028379,1.159048522
101.4910855,1.159048522
101.678763,1.164112078
101.8677853,1.17423919
102.0557841,1.17423919
102.2453664,1.17423919
102.4351199,1.179302746
102.6232022,1.17423919
102.8109792,1.179302746
102.9999591,1.189429859
103.1869255,1.189429859
103.3771159,1.184366303
103.5681568,1.184366303
103.7699612,1.189429859
103.9584701,1.189429859
104.1466461,1.194493415
104.3383105,1.194493415
